index;final_EC;prediction
455;1301;1360,02
73;391;407,67
310;1149;1148,39
175;629;622,0
332;1151;1154,9
204;651;654,55
155;984;817,23
55;727;741,31
320;1138;1148,39
9;1550;1523,27
104;481;478,52
199;648;654,55
250;851;849,69
192;653;654,55
101;781;784,63
289;983;972,59
449;1046;1036,29
30;1551;1539,4
137;772;763,34
484;734;748,71
430;978;936,11
287;973;972,59
488;415;420,52
72;758;758,81
63;762;741,31
93;557;563,55
391;768;767,94
477;410;412,13
77;751;744,21
68;745;758,81
437;1543;1616,99
76;737;744,21
140;848;878,5
2;414;412,13
329;1153;1154,9
79;402;405,9
208;476;475,16
182;635;622,0
461;412;420,89
312;1156;1148,39
195;654;654,55
434;643;723,0
33;989;977,76
314;1170;1148,39
0;412;412,13
11;1527;1509,46
481;1666;1652,47
173;629;622,0
84;743;744,21
225;816;781,22
423;742;742,6
324;1165;1148,39
386;812;854,86
117;762;771,04
18;1509;1509,46
399;780;783,53
411;326;323,16
489;1034;1036,29
244;850;849,69
272;1024;1018,7
383;756;757,83
39;976;977,76
448;736;744,23
268;850;849,69
464;419;417,71
153;803;802,89
347;1154;1154,9
70;739;758,81
274;848;849,69
247;1020;1018,7
485;1006;788,14
132;417;421,98
90;758;744,21
69;749;758,81
487;1561;1520,54
245;1021;1018,7
231;663;660,6
78;759;744,21
82;751;744,21
234;920;932,95
318;1139;1148,39
479;411;415,13
131;679;763,34
441;1355;1224,02
381;769;746,61
124;412;415,73
426;752;774,8
425;744;762,02
126;781;771,04
266;1018;1018,7
342;1142;1154,9
86;747;744,21
75;749;744,21
432;1105;1076,83
15;1502;1509,46
403;772;767,94
380;684;667,32
19;1502;1509,46
465;418;417,71
