index;final_pH;prediction
455;8,4;7,94
73;8,8;8,6
310;8,3;8,38
175;8,2;8,4
332;8,4;8,38
204;8,1;8,14
155;7,9;8,04
55;7,9;7,9
320;8,4;8,38
9;7,9;7,9
104;8,5;8,78
199;8,3;8,14
250;8,2;8,22
192;8,1;8,14
101;8,1;8,08
289;8,2;8,08
449;8,4;8,46
30;7,7;7,86
137;8,0;8,02
484;8,1;8,18
430;8,2;8,2
287;8,1;8,08
488;8,4;8,38
72;8,2;8,02
63;8,0;7,9
93;8,7;8,6
391;8,2;8,28
477;7,9;7,92
77;8,0;8,38
68;8,1;8,02
437;7,5;7,96
76;8,0;8,38
140;8,0;8,0
2;7,9;7,92
329;8,4;8,38
79;8,5;8,46
208;8,1;8,22
182;8,5;8,4
461;8,5;8,38
312;8,3;8,38
195;8,1;8,14
434;9,0;8,54
33;7,9;7,68
314;8,3;8,38
0;8,0;7,92
11;7,8;7,9
481;8,4;8,3
173;8,3;8,4
84;8,1;8,38
225;7,4;8,38
423;8,2;8,26
324;8,4;8,38
386;8,2;8,2
117;7,9;7,88
18;7,8;7,9
399;8,2;8,14
411;9,0;8,82
489;8,4;8,46
244;8,2;8,22
272;8,2;8,14
383;8,2;8,28
39;7,8;7,68
448;8,4;8,4
268;8,3;8,22
464;7,9;7,98
153;8,1;8,12
347;8,3;8,38
70;8,2;8,02
274;8,4;8,22
247;8,1;8,14
485;8,1;7,64
132;8,5;8,6
90;8,0;8,38
69;8,2;8,02
487;7,8;7,9
245;8,1;8,14
231;8,1;8,08
78;8,0;8,38
82;8,1;8,38
234;8,1;8,24
318;8,4;8,38
479;8,5;8,38
131;7,8;8,02
441;8,0;8,04
381;8,0;8,18
124;8,6;8,46
426;8,2;8,16
425;8,2;8,2
126;7,9;7,88
266;8,2;8,14
342;8,4;8,38
86;8,0;8,38
75;8,0;8,38
432;8,1;8,16
15;7,8;7,9
403;8,3;8,28
380;8,1;8,2
19;7,8;7,9
465;7,9;7,98
