index;final_turbidity;prediction
455;4;8,0
73;44;56,6
310;6;3,6
175;6;6,4
332;5;4,8
204;8;7,2
155;11;11,0
55;23;11,0
320;4;4,0
9;5;4,8
104;27;44,2
199;5;7,2
250;2;2,6
192;8;7,2
101;7;7,2
289;5;4,4
449;12;11,8
30;6;5,0
137;24;29,6
484;27;49,6
430;7;9,6
287;6;4,4
488;56;58,6
72;8;9,8
63;9;7,6
93;15;17,2
391;22;20,8
477;29;27,6
77;8;10,6
68;10;9,8
437;13;13,8
76;8;10,6
140;29;29,6
2;23;27,6
329;4;4,8
79;50;56,8
208;2;1,8
182;6;6,4
461;46;46,4
312;3;3,6
195;7;7,2
434;27;32,8
33;6;4,2
314;3;3,6
0;28;27,6
11;7;14,0
481;3;8,8
173;7;6,4
84;11;10,6
225;6;10,6
423;23;22,6
324;3;4,0
386;19;32,2
117;10;18,6
18;7;5,6
399;19;17,2
411;57;53,2
489;7;15,2
244;2;5,6
272;2;2,8
383;23;34,8
39;5;4,2
448;19;14,8
268;2;2,2
464;44;32,4
153;4;11,0
347;5;4,8
70;7;9,8
274;2;2,2
247;4;2,6
485;20;32,0
132;55;26,8
90;13;10,6
69;7;9,8
487;17;12,6
245;5;2,6
231;6;7,4
78;7;10,6
82;8;10,6
234;10;5,6
318;4;4,0
479;46;45,2
131;20;15,0
441;9;12,6
381;54;42,0
124;53;47,6
426;26;17,2
425;25;20,4
126;15;14,6
266;2;2,8
342;3;4,0
86;14;10,6
75;9;10,6
432;9;7,4
15;3;14,0
403;16;17,8
380;49;49,6
19;6;5,6
465;44;32,4
