index;performance;fpH;fEC;performance;fpH;fEC
368;0,87;6,7;841,0;0,94;7,21;811,61
856;0,6;8,2;745,0;0,62;8,26;737,85
231;-0,5;8,12;973,0;-0,16;8,14;972,86
372;0,96;7,0;861,0;0,95;6,97;855,58
550;0,61;8,4;419,0;0,47;8,44;375,9
521;0,6;9,2;323,0;0,61;9,11;299,78
152;-0,57;8,13;661,0;-0,31;8,16;652,45
531;0,91;7,9;709,0;0,85;8,15;628,92
667;0,97;6,6;850,0;0,97;6,96;839,39
621;0,85;6,7;546,0;0,87;6,64;527,86
858;0,61;8,1;1382,0;0,66;8,14;1210,82
369;0,84;6,6;845,0;0,94;7,21;811,61
208;0,4;8,22;1021,0;0,39;8,16;1019,56
562;0,9;8,2;751,0;0,83;8,26;749,43
754;0,91;8,2;765,0;0,93;8,09;772,51
762;0,8;7,6;694,0;0,75;7,59;692,67
503;0,6;8,5;421,0;0,54;8,52;385,11
561;0,89;8,2;746,0;0,85;8,22;744,31
643;0,96;7,6;758,0;0,96;7,74;706,35
828;0,81;8,0;420,0;0,65;8,21;414,52
334;0,94;8,2;759,0;0,93;8,17;742,89
580;0,95;6,8;892,0;0,98;7,29;856,91
734;0,9;7,9;773,0;0,93;7,72;815,17
584;0,97;6,9;849,0;0,96;7,18;845,47
314;0,68;8,0;403,0;0,72;7,87;442,28
61;0,95;7,8;1480,0;0,96;7,86;1510,99
413;0,77;7,95;848,0;0,81;7,93;857,58
19;0,74;8,0;412,0;0,71;7,93;418,2
542;0,94;8,2;1029,0;0,94;8,11;1035,36
138;0,71;8,29;476,0;0,78;8,21;477,28
572;0,69;6,6;899,0;0,68;6,38;943,1
81;-1,25;8,29;558,0;-1,24;8,31;596,79
209;0,4;8,22;1018,0;0,39;8,16;1019,56
636;0,92;7,6;598,0;0,8;7,5;578,8
545;0,54;7,7;416,0;0,48;8,34;393,19
532;0,62;9,3;314,0;0,69;9,06;340,06
597;0,88;6,0;863,0;0,91;5,69;932,49
341;0,94;7,98;759,0;0,92;8,03;745,76
464;0,58;8,4;421,0;0,57;8,38;428,71
554;0,48;8,2;422,0;0,5;8,2;429,15
800;0,81;7,5;865,0;0,8;7,47;876,0
260;0,84;8,49;812,0;0,84;8,48;809,47
