"surface water age (days)";"initial pH (-)";"initial EC (microS/cm)";"initial turbidity (NTU)";"flocculant age (days)";"Husk removed?";"saline Molarity (mol/l)";"filtered?";"floc dose (mg/l)";"stirring speed coagulation phase (rpm)";"duration coagulation phase (min)";"stirring speed flocculation phase (rpm)";"duration flocculation phase (min)";"stirring speed sedimentation phase (rpm)";"duration sedimentation phase (min)";"final pH (-)";"final EC (microS/cm)";"final turbidity (NTU)";"performance"
0.00;;;167;0.00;0;1;1;200;100;1;20;20;0;40;;;18;0.89
0.00;;;167;0.00;0;1;1;200;100;1;20;20;0;40;;;14;0.91
0.00;;;167;6.00;0;0;0;200;100;1;20;20;0;40;;;61;0.63
0.00;;;167;6.00;0;0;0;200;100;1;20;20;0;40;;;57;0.65
0.00;;;167;0.00;0;1;1;200;100;1;20;20;0;40;;;14;0.91
0.00;;;167;0.00;0;1;1;200;100;1;20;20;0;40;;;13;0.92
0.00;;;167;0.00;0;0;0;200;100;1;20;20;0;40;;;65;0.61
0.00;;;167;0.00;0;0;0;200;100;1;20;20;0;40;;;62;0.62
1.00;;;167;1.00;0;0;0;200;180;1;20;10;0;60;;;54;0.67
1.00;;;167;1.00;0;0;0;200;180;1;20;10;0;60;;;53;0.68
1.00;;;167;1.00;0;0;0;200;180;1;20;10;0;60;;;54;0.67
1.00;;;167;1.00;0;1;1;200;180;1;20;10;0;60;;;8;0.95
2.00;;;167;2.00;0;0;0;200;100;1;20;10;0;60;;;68;0.59
2.00;;;167;2.00;0;0;0;200;100;1;20;10;0;60;;;66;0.60
2.00;;;167;2.00;0;1;1;200;100;1;20;10;0;60;;;11;0.93
0.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;8.00;411.00;33;0.71
0.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;7.90;411.00;31;0.73
0.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;7.90;411.00;30;0.74
0.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;7.90;412.00;31;0.73
0.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;8.00;412.00;31;0.73
0.00;8.50;412;117;0.00;0;0;0;0;100;1;20;20;0;60;8.50;412.00;46;0.60
0.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;7.90;418.00;47;0.59
0.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;7.90;419.00;45;0.61
0.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;7.90;419.00;44;0.62
0.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;7.90;418.00;44;0.62
0.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;7.90;419.00;43;0.63
0.00;8.50;412;117;0.00;0;0;0;0;100;1;20;20;0;60;8.40;419.00;47;0.59
1.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;8.00;424.00;27;0.76
1.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;8.00;423.00;25;0.78
1.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;7.90;423.00;25;0.78
1.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;8.00;423.00;26;0.77
1.00;8.50;412;117;0.00;0;0;0;200;100;1;20;20;0;60;7.90;424.00;26;0.77
1.00;8.50;412;117;0.00;0;0;0;0;100;1;20;20;0;60;8.40;423.00;51;0.56
0.00;8.60;410;119;0.00;0;0;0;200;100;1;20;20;0;60;8.00;411.00;25;0.78
0.00;8.60;410;119;0.00;0;0;0;200;100;1;20;20;0;60;7.90;411.00;32;0.73
0.00;8.60;410;119;0.00;0;0;0;200;100;1;20;20;0;60;7.90;411.00;27;0.77
0.00;8.60;410;119;0.00;0;0;0;200;100;1;20;20;0;60;7.90;410.00;29;0.75
0.00;8.60;410;119;0.00;0;0;0;200;100;1;20;20;0;60;7.90;410.00;29;0.75
0.00;8.60;410;119;0.00;0;0;0;0;100;1;20;20;0;60;8.50;411.00;46;0.61
0.00;8.60;410;119;0.00;0;0;0;200;100;1;20;20;0;60;8.00;414.00;26;0.78
0.00;8.60;410;119;0.00;0;0;0;200;100;1;20;20;0;60;8.00;412.00;28;0.76
0.00;8.60;410;119;0.00;0;0;0;200;100;1;20;20;0;60;8.00;414.00;26;0.78
0.00;8.60;410;119;0.00;0;0;0;200;100;1;20;20;0;60;7.90;414.00;23;0.80
0.00;8.60;410;119;0.00;0;0;0;200;100;1;20;20;0;60;7.90;414.00;25;0.78
0.00;8.60;410;119;0.00;0;0;0;0;100;1;20;20;0;60;8.40;415.00;49;0.58
6.00;8.60;410;119;0.00;0;1;0;200;100;1;20;20;0;60;7.90;1483.00;5;0.95
6.00;8.60;410;119;0.00;0;1;0;200;100;1;20;20;0;60;7.90;1571.00;6;0.94
6.00;8.60;410;119;0.00;0;1;0;200;100;1;20;20;0;60;7.90;1475.00;5;0.95
6.00;8.60;410;119;0.00;0;1;0;200;100;1;20;20;0;60;7.90;1564.00;4;0.96
6.00;8.60;410;119;0.00;0;1;0;200;100;1;20;20;0;60;7.90;1550.00;5;0.95
6.00;8.60;410;119;0.00;0;1;0;0;100;1;20;20;0;60;8.40;419.00;53;0.55
0.00;8.60;409;126;0.00;0;1;0;200;180;1;20;20;0;60;7.80;1527.00;7;0.94
0.00;8.60;409;126;0.00;0;1;0;200;180;1;20;20;0;60;7.90;1510.00;6;0.95
0.00;8.60;409;126;0.00;0;1;0;200;180;1;20;20;0;60;7.90;1537.00;4;0.96
0.00;8.60;409;126;0.00;0;1;0;200;180;1;20;20;0;60;7.90;1480.00;4;0.96
0.00;8.60;409;126;0.00;0;1;0;200;180;1;20;20;0;60;7.80;1502.00;3;0.97
0.00;8.60;409;126;0.00;0;1;0;0;180;1;20;20;0;60;8.50;411.00;52;0.58
0.00;8.60;409;126;0.00;0;1;0;200;100;1;20;20;0;60;7.80;1493.00;6;0.95
0.00;8.60;409;126;0.00;0;1;0;200;100;1;20;20;0;60;7.80;1509.00;7;0.94
0.00;8.60;409;126;0.00;0;1;0;200;100;1;20;20;0;60;7.80;1502.00;6;0.95
0.00;8.60;409;126;0.00;0;1;0;200;100;1;20;20;0;60;7.80;1520.00;6;0.95
0.00;8.60;409;126;0.00;0;1;0;200;100;1;20;20;0;60;7.80;1480.00;6;0.95
0.00;8.60;409;126;0.00;0;1;0;0;100;1;20;20;0;60;8.50;412.00;54;0.57
2.00;8.60;409;126;0.00;0;1;0;200;100;1;20;20;0;60;7.90;1543.00;7;0.94
2.00;8.60;409;126;0.00;0;1;0;200;100;1;20;20;0;60;7.90;1492.00;6;0.95
2.00;8.60;409;126;0.00;0;1;0;200;100;1;20;20;0;60;7.90;1503.00;5;0.96
2.00;8.60;409;126;0.00;0;1;0;200;100;1;20;20;0;60;7.90;1547.00;4;0.96
1.00;8.68;405;142;0.00;0;0;1;200;100;1;20;15;0;45;8.13;758.00;20;0.85
1.00;8.68;405;142;0.00;0;0;1;250;100;1;20;15;0;45;8.02;872.00;13;0.90
1.00;8.68;405;142;0.00;0;0;1;300;100;1;20;15;0;45;7.96;928.00;8;0.94
1.00;8.68;405;142;0.00;0;0;1;350;100;1;20;15;0;45;7.87;1024.00;8;0.94
1.00;8.68;405;142;0.00;0;0;1;400;100;1;20;15;0;45;7.85;1020.00;18;0.87
1.00;8.68;405;142;0.00;0;0;1;0;100;1;20;15;0;45;8.60;409.00;56;0.60
0.00;8.21;452;4;0.00;0;0;1;100;100;1;20;15;0;45;8.06;663.00;4;0.00
0.00;8.21;452;4;0.00;0;0;1;150;100;1;20;15;0;45;8.12;726.00;4;0.00
0.00;8.21;452;4;0.00;0;0;1;200;100;1;20;15;0;45;8.09;803.00;4;0.00
0.00;8.21;452;4;0.00;0;0;1;250;100;1;20;15;0;45;7.99;919.00;5;-0.25
0.00;8.21;452;4;0.00;0;0;1;300;100;1;20;15;0;45;7.94;984.00;11;-1.75
0.00;8.21;452;4;0.00;0;0;1;0;100;1;20;15;0;45;8.29;461.00;2;0.50
0.00;8.21;452;4;0.00;0;0;1;20;100;1;20;15;0;45;8.35;498.00;7;-0.75
0.00;8.21;452;4;0.00;0;0;1;40;100;1;20;15;0;45;8.31;522.00;9;-1.25
0.00;8.21;452;4;0.00;0;0;1;60;100;1;20;15;0;45;8.29;558.00;9;-1.25
0.00;8.21;452;4;0.00;0;0;1;80;100;1;20;15;0;45;8.27;595.00;8;-1.00
0.00;8.21;452;4;0.00;0;0;1;100;100;1;20;15;0;45;8.25;627.00;6;-0.50
0.00;8.21;452;4;0.00;0;0;1;0;100;1;20;15;0;45;8.36;460.00;2;0.50
1.00;8.54;412;142;0.00;0;0;1;200;50;1;20;15;0;45;8.00;782.00;7;0.95
1.00;8.54;412;142;0.00;0;0;1;200;50;1;20;15;0;45;8.00;770.00;7;0.95
1.00;8.54;412;142;0.00;0;0;1;200;50;1;20;15;0;45;7.90;792.00;5;0.96
1.00;8.54;412;142;0.00;0;0;1;200;50;1;20;15;0;45;8.00;781.00;6;0.95
1.00;8.54;412;142;35.00;0;0;0;200;50;1;20;15;0;45;7.40;430.00;5;0.96
1.00;8.54;412;142;0.00;0;0;1;0;50;1;20;15;0;45;8.40;421.00;58;0.59
3.00;8.21;452;4;0.00;0;0;1;100;100;1;20;15;0;45;8.20;636.00;12;-2.00
3.00;8.21;452;4;0.00;0;0;1;120;100;1;20;15;0;45;8.19;672.00;12;-2.00
3.00;8.21;452;4;0.00;0;0;1;140;100;1;20;15;0;45;8.17;710.00;15;-2.75
3.00;8.21;452;4;0.00;0;0;1;160;100;1;20;15;0;45;8.14;744.00;14;-2.50
3.00;8.21;452;4;0.00;0;0;1;180;100;1;20;15;0;45;8.10;763.00;17;-3.25
3.00;8.21;452;4;0.00;0;0;1;100;100;2;20;15;0;45;8.26;629.00;7;-0.75
3.00;8.21;452;4;0.00;0;0;1;100;100;2;20;15;0;45;8.25;606.00;8;-1.00
3.00;8.21;452;4;0.00;0;0;1;100;100;2;20;15;0;45;8.23;629.00;6;-0.50
3.00;8.21;452;4;0.00;0;0;1;100;100;2;20;15;0;45;8.25;629.00;6;-0.50
3.00;8.21;452;4;0.00;0;0;1;100;100;2;20;15;0;45;8.24;621.00;6;-0.50
3.00;8.21;452;4;0.00;0;0;1;0;100;2;20;15;0;45;8.36;459.00;2;0.50
11.00;8.21;452;4;0.00;0;0;1;100;100;2;20;15;0;45;8.48;626.00;8;-1.00
11.00;8.21;452;4;0.00;0;0;1;100;100;2;20;15;0;45;8.47;623.00;6;-0.50
11.00;8.21;452;4;0.00;0;0;1;100;100;2;20;15;0;45;8.47;625.00;6;-0.50
11.00;8.21;452;4;0.00;0;0;1;100;100;2;20;15;0;45;8.46;635.00;6;-0.50
11.00;8.21;452;4;0.00;0;0;1;100;100;2;20;15;0;45;8.45;630.00;8;-1.00
11.00;8.21;452;4;0.00;0;0;1;0;100;2;20;15;0;45;8.56;452.00;1;0.75
11.00;8.21;452;4;0.00;0;0;1;100;100;3;20;15;0;45;8.53;596.00;9;-1.25
11.00;8.21;452;4;0.00;0;0;1;100;100;3;20;15;0;45;8.56;610.00;7;-0.75
11.00;8.21;452;4;0.00;0;0;1;100;100;3;20;15;0;45;8.57;612.00;6;-0.50
11.00;8.21;452;4;0.00;0;0;1;100;100;3;20;15;0;45;8.56;612.00;6;-0.50
11.00;8.21;452;4;0.00;0;0;1;100;100;3;20;15;0;45;8.57;613.00;7;-0.75
11.00;8.21;452;4;0.00;0;0;1;0;100;3;20;15;0;45;8.65;449.00;1;0.75
2.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.10;642.00;5;0.28
2.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.09;653.00;8;-0.14
2.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.11;650.00;8;-0.14
2.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.12;658.00;7;0.00
1.00;8.96;396;150;0.00;1;0;1;300;100;1;20;15;0;45;7.95;883.00;6;0.96
1.00;8.96;396;150;0.00;1;0;1;0;100;1;20;15;0;45;8.73;396.00;58;0.61
1.00;8.96;396;150;0.00;1;0;1;50;100;1;20;15;0;45;8.53;481.00;27;0.82
1.00;8.96;396;150;0.00;1;0;1;100;100;1;20;15;0;45;8.34;563.00;14;0.90
1.00;8.96;396;150;0.00;1;0;1;150;100;1;20;15;0;45;8.17;648.00;10;0.93
1.00;8.96;396;150;0.00;1;0;1;250;100;1;20;15;0;45;7.91;794.00;7;0.95
1.00;8.96;396;150;0.00;1;0;1;300;100;1;20;15;0;45;7.78;889.00;8;0.94
1.00;8.96;396;150;0.00;1;0;1;0;100;1;20;15;0;45;8.66;397.00;60;0.60
3.00;8.79;400;145;0.00;1;0;1;100;100;1;20;15;0;45;8.40;578.00;9;0.93
3.00;8.79;400;145;0.00;1;0;1;150;100;1;20;15;0;45;8.28;650.00;8;0.94
3.00;8.79;400;145;0.00;1;0;1;200;100;1;20;15;0;45;8.16;734.00;5;0.96
3.00;8.79;400;145;0.00;1;0;1;250;100;1;20;15;0;45;8.02;834.00;4;0.97
3.00;8.79;400;145;0.00;1;0;1;300;100;1;20;15;0;45;7.98;860.00;4;0.97
3.00;8.79;400;145;0.00;1;0;1;0;100;1;20;15;0;45;8.60;401.00;56;0.61
3.00;8.79;400;145;-4.00;1;0;0;200;100;1;20;15;0;45;7.88;748.00;12;0.91
3.00;8.79;400;145;-4.00;1;0;0;200;100;1;20;15;0;45;;;7;0.95
3.00;8.79;400;145;-4.00;0;0;0;5;100;1;20;15;0;45;;;6;0.95
3.00;8.79;400;145;-4.00;0;0;0;5;100;1;20;15;0;45;7.62;410.00;6;0.95
0.00;8.63;407;125;0.00;1;0;1;200;200;2;20;15;0;45;7.91;762.00;10;0.92
2.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.12;654.00;7;0.00
2.00;8.14;477;7;0.00;0;0;1;0;100;3;20;15;0;45;8.29;476.00;2;0.71
2.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.18;644.00;5;0.28
2.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.23;644.00;5;0.28
2.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.27;648.00;5;0.28
2.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.27;647.00;7;0.00
2.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.46;663.00;13;-0.85
2.00;8.14;477;7;0.00;0;0;1;0;100;3;20;15;0;45;8.29;475.00;2;0.71
11.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.07;655.00;7;0.00
11.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.08;651.00;8;-0.14
11.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.06;652.00;10;-0.42
11.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.05;652.00;14;-1.00
11.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.14;660.00;26;-2.71
11.00;8.14;477;7;0.00;0;0;1;0;100;3;20;15;0;45;8.13;476.00;2;0.71
11.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.06;665.00;4;0.42
11.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.13;661.00;11;-0.57
11.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.24;667.00;6;0.14
11.00;8.14;477;7;0.00;0;0;1;100;100;3;20;15;0;45;8.21;659.00;23;-2.28
11.00;8.14;477;7;58.00;0;0;0;5;100;3;20;15;0;45;7.85;479.00;1;0.85
11.00;8.14;477;7;0.00;0;0;1;0;100;3;20;15;0;45;8.23;474.00;1;0.85
0.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;7.93;648.00;3;0.00
0.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;7.95;656.00;4;-0.33
0.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;7.98;647.00;6;-1.00
0.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;8.00;653.00;5;-0.66
0.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;8.14;661.00;7;-1.33
0.00;8.01;494;3;0.00;0;0;1;0;100;3;20;15;0;45;8.08;661.00;2;0.33
1.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;8.06;655.00;6;-1.00
1.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;8.13;665.00;5;-0.66
1.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;8.03;669.00;12;-3.00
1.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;8.03;666.00;10;-2.33
1.00;8.01;494;3;0.00;0;0;1;0;100;3;20;15;0;45;8.15;493.00;2;0.33
31.00;8.54;412;142;0.00;0;0;1;200;100;1;20;15;0;45;7.35;816.00;6;0.95
31.00;8.54;412;142;0.00;0;0;1;100;100;1;20;15;0;45;7.40;623.00;8;0.94
31.00;8.54;412;142;65.00;0;0;0;10;100;1;20;15;0;45;7.00;442.00;2;0.98
8.00;8.01;494;3;0.00;0;0;1;100;100;2;20;15;0;45;8.08;667.00;11;-2.66
8.00;8.01;494;3;0.00;0;0;1;100;100;2;20;15;0;45;8.12;671.00;8;-1.66
8.00;8.01;494;3;0.00;0;0;1;100;100;2;20;15;0;45;8.14;666.00;6;-1.00
8.00;8.01;494;3;0.00;0;0;1;100;100;2;20;15;0;45;8.09;663.00;6;-1.00
