index;fpH;fpH
298;8,37;8,38
39;7,8;7,87
335;8,3;8,24
398;8,56;8,44
153;8,08;8,02
195;8,35;8,2
168;8,1;8,16
101;7,9;7,94
397;8,51;8,44
30;7,98;8,01
72;7,9;7,87
271;7,98;7,92
140;7,9;7,76
349;8,4;8,45
362;8,87;8,86
55;7,7;8,18
165;8,0;7,9
320;8,4;8,37
287;8,3;8,28
82;8,34;8,62
77;8,02;7,99
132;6,5;7,4
248;8,3;8,26
117;7,97;8,02
203;8,21;8,18
404;8,49;8,49
79;7,9;8,02
441;8,3;8,33
9;8,3;8,3
389;8,06;8,1
378;8,27;8,19
244;9,4;9,3
416;8,4;8,3
113;8,13;8,27
445;8,3;8,28
76;8,05;7,91
277;8,3;8,28
316;8,4;8,39
124;8,0;8,02
78;8,3;7,87
285;8,3;8,28
90;7,8;7,76
181;8,1;8,1
73;7,9;7,87
400;8,45;8,49
75;8,9;8,89
70;7,9;7,87
386;8,17;8,12
408;8,11;8,1
325;8,4;8,45
430;8,4;8,41
33;7,6;7,76
407;8,2;8,16
311;8,2;8,1
437;8,2;8,2
272;8,21;8,2
11;7,35;8,02
395;8,02;7,84
15;7,4;8,32
438;8,2;8,25
352;8,3;8,23
0;7,5;7,8
19;7,91;8,23
338;8,3;8,19
297;8,3;8,3
56;7,9;7,95
444;8,3;8,23
377;8,41;8,39
296;8,3;8,25
384;8,51;8,49
432;8,2;8,3
382;8,42;8,4
25;8,07;8,23
375;8,14;8,12
199;8,73;8,86
393;8,43;8,49
42;7,8;7,87
176;8,66;8,86
442;8,2;8,29
116;8,38;8,23
419;8,3;8,37
286;8,3;8,28
290;8,3;8,3
22;8,6;8,76
46;8,17;8,49
436;8,2;8,25
446;8,3;8,25
137;8,0;7,94
93;7,8;8,09
57;7,9;7,95
425;8,3;8,2
