index;ftur;ftur
15;3;5,25
9;5;5,0
100;6;8,0
132;47;32,93
68;7;8,99
95;53;59,96
159;23;11,0
162;55;58,66
147;29;26,0
226;56;55,88
247;14;18,63
164;59;57,0
65;62;52,71
175;58;55,97
73;9;10,0
152;4;0,43
18;7;5,63
82;11;10,0
86;9;10,0
143;51;46,5
60;9;7,25
101;58;59,96
98;9;10,49
30;6;4,48
25;5;5,63
16;52;55,54
168;8;18,0
251;17;18,01
97;11;14,52
250;68;51,11
67;7;8,99
120;53;54,0
154;12;6,0
268;16;12,57
79;9;10,0
69;8;8,99
145;32;26,0
55;9;7,25
45;10;8,0
84;14;10,0
146;27;26,0
