index;fEC;fEC
280;420;429,06
78;431;421,66
113;745;740,92
253;1072;1104,15
324;756;748,85
327;939;961,47
291;417;422,07
82;769;787,82
365;746;748,85
401;947;983,02
379;751;751,85
75;1527;1506,72
425;412;418,74
393;411;418,74
132;736;746,09
76;751;746,09
429;749;749,19
94;834;782,92
73;769;745,2
416;810;810,52
9;480;457,59
396;415;418,09
30;1224;1479,78
362;475;474,68
155;1480;1506,72
316;887;871,81
70;989;980,2
371;752;755,29
420;396;398,97
55;759;746,09
154;1246;1235,08
227;420;421,01
117;970;980,2
389;411;414,86
104;726;748,38
72;928;865,6
218;421;418,91
244;744;747,15
39;758;747,96
141;763;794,29
336;399;398,98
271;460;454,07
275;416;419,3
79;983;980,2
153;954;980,2
33;783;760,56
131;1061;1030,05
301;781;784,67
77;751;746,09
249;418;424,37
381;751;760,47
15;925;891,36
175;430;457,59
261;404;403,34
0;1355;1479,78
19;1955;1941,52
403;476;474,68
287;1020;1227,32
56;1543;1506,72
176;913;951,27
180;1115;1124,65
93;749;740,92
286;459;454,07
380;751;756,6
355;753;755,94
369;752;752,45
25;872;827,25
299;974;979,18
198;428;433,8
152;889;877,42
42;1551;1539,41
373;812;858,9
383;751;769,06
430;749;749,19
289;760;756,6
204;1147;1146,62
281;421;407,84
22;633;682,51
46;1024;1124,77
90;1520;1506,72
413;806;807,71
410;750;760,8
422;410;412,4
57;933;1007,92
126;954;965,92
24;631;598,01
17;1687;1641,88
